index;type;nb_btype;nb_occ;azimuth;elevation;cat;modules
0;sfh;1;5;0;30;1;20
1;sfh;2;3;0;30;1;20
2;sfh;3;4;0;30;1;20
3;sfh;4;2;0;30;1;20
4;sfh;5;3;0;30;1;20
5;sfh;6;3;0;30;1;20
6;sfh;7;3;0;30;1;20
7;sfh;8;2;0;30;1;20
8;sfh;9;5;0;30;1;20
9;sfh;10;4;0;30;1;20
10;sfh;11;3;0;30;1;20
11;sfh;12;2;0;30;1;20
12;sfh;13;5;0;30;1;20
13;sfh;14;3;0;30;1;20
14;sfh;15;4;0;30;1;20
15;sfh;16;5;0;30;1;20
16;sfh;17;4;0;30;1;20
17;sfh;18;4;0;30;1;20
18;sfh;19;5;0;30;1;20
19;sfh;20;4;0;30;1;20
20;sfh;21;5;0;30;1;20
21;sfh;22;2;0;30;1;20
22;sfh;23;3;0;30;1;20
23;sfh;24;4;0;30;1;20
24;sfh;25;4;0;30;1;20
25;sfh;26;2;0;30;2;20
26;sfh;27;4;0;30;2;20
27;sfh;28;4;0;30;2;20
28;sfh;29;4;0;30;2;20
29;sfh;30;3;0;30;2;20
30;sfh;31;2;0;30;2;20
31;sfh;32;4;0;30;2;20
32;sfh;33;5;0;30;2;20
33;sfh;34;2;0;30;2;20
34;sfh;35;4;0;30;2;20
35;sfh;36;4;0;30;2;20
36;sfh;37;4;0;30;2;20
37;sfh;38;3;0;30;2;20
38;sfh;39;3;0;30;2;20
39;sfh;40;4;0;30;2;20
40;sfh;41;4;0;30;2;20
41;sfh;42;5;0;30;2;20
42;sfh;43;2;0;30;2;20
43;sfh;44;2;0;30;2;20
44;sfh;45;2;0;30;2;20
45;mfh_small;1;13;0;30;3;46
46;mfh_small;2;10;0;30;3;46
47;mfh_small;3;15;0;30;3;46
48;mfh_small;4;16;0;30;3;46
49;mfh_small;5;20;0;30;3;46
50;mfh_small;6;15;0;30;3;46
51;mfh_small;7;15;0;30;4;46
52;mfh_small;8;11;0;30;4;46
53;mfh_small;9;18;0;30;4;46
54;mfh_small;10;11;0;30;4;46
55;mfh_small;11;14;0;30;4;46
56;supermarket;1;100;0;30;7;92
