time in s;power in W
900;7908.8506
1800;13974.433
2700;14594.417
3600;14594.417
4500;14594.417
5400;14594.417
6300;14594.417
7200;14594.417
8100;14594.417
9000;14594.417
9900;14594.417
10800;14594.417
11700;14594.417
12600;14594.417
13500;14594.417
14400;14594.417
15300;14594.417
16200;14594.417
17100;14594.417
18000;14594.417
18900;14594.417
19800;14594.417
20700;14594.417
21600;14594.417
22500;14594.417
23400;14594.417
24300;14594.417
25200;14594.417
26100;14594.417
27000;14594.417
27900;14594.417
28800;14594.417
29700;14594.417
30600;14594.417
31500;14594.417
32400;14594.417
33300;14594.417
34200;14594.417
35100;14594.417
36000;14594.417
36900;14594.417
37800;14560.873
38700;14404.922
39600;14183.335
40500;13980.734
41400;13836.789
42300;13736.291
43200;13659.749
44100;13623.528
45000;13638.547
45900;13695.429
46800;13786.341
47700;13821.389
48600;13735.586
49500;13564.9795
50400;13350.205
51300;13108.45
52200;12848.848
53100;12577.51
54000;12299.77
54900;12066.638
55800;11918.556
56700;11831.184
57600;11774.3
58500;11770.583
59400;11836.949
60300;11951.842
61200;12093.012
62100;12260.046
63000;12447.069
63900;12649.446
64800;12876.069
65700;13128.877
66600;13395.482
67500;13668.306
68400;13943.71
69300;14166.977
70200;14294.817
71100;14349.783
72000;14358.731
72900;14363.702
73800;14389.309
74700;14428.932
75600;14466.359
76500;14540.18
77400;14594.417
78300;14594.417
79200;14594.417
80100;14594.417
81000;14594.417
81900;14594.417
82800;14594.417
83700;14594.417
84600;14594.417
85500;14594.417
86400;14594.417
87300;14594.417
88200;14594.417
89100;14594.417
90000;14594.417
90900;14594.417
91800;14594.417
92700;14594.417
93600;14594.417
94500;14594.417
95400;14594.417
96300;14594.417
97200;14580.73
98100;14547.675
99000;14514.752
99900;14487.647
100800;14458.499
101700;14420.162
102600;14358.442
103500;14278.116
104400;14194.639
105300;14129.35
106200;14095.425
107100;14085.477
108000;14077.328
108900;13954.993
109800;13645.7
110700;13196.3955
111600;12660.519
112500;12108.459
113400;11621.359
114300;11180.794
115200;10780.944
116100;10457.456
117000;10219.799
117900;10037.889
118800;9861.721
119700;9647.58
120600;9390.788
121500;9105.301
122400;8811.559
123300;8536.8
124200;8286.814
125100;8071.0713
126000;7923.7686
126900;7864.13
127800;7853.9175
128700;7842.102
129600;7818.7236
130500;7803.6597
131400;7804.629
132300;7820.7837
133200;7852.8755
134100;7869.9707
135000;7858.536
135900;7833.688
136800;7805.7817
137700;7769.0913
138600;7729.6143
139500;7695.2505
140400;7669.1772
141300;7671.018
142200;7722.2007
143100;7812.0264
144000;7913.0933
144900;8001.1353
145800;8059.601
146700;8084.9844
147600;8095.0156
148500;8133.0576
149400;8208.022
150300;8308.983
151200;8422.422
152100;8588.241
153000;8830.491
153900;9124.4795
154800;9442.304
155700;9709.843
156600;9873.724
157500;9957.972
158400;9996.782
159300;10026.89
160200;10074.805
161100;10134.183
162000;10194.343
162900;10251.196
163800;10304.581
164700;10352.611
165600;10396.696
166500;10418.088
167400;10412.6875
168300;10389.171
169200;10354.586
170100;10330.824
171000;10338.312
171900;10369.165
172800;10407.444
173700;10423.597
174600;10412.353
175500;10382.26
176400;10340.735
177300;10292.158
178200;10241.8125
179100;10191.198
180000;10140.0205
180900;10094.679
181800;10068.895
182700;10067.995
183600;10080.375
184500;10085.515
185400;10075.778
186300;10052.868
187200;10023.284
188100;10001.509
189000;9997.35
189900;10008.632
190800;10021.684
191700;10016.662
192600;9991.126
193500;9949.971
194400;9898.836
195300;9765.636
196200;9506.198
197100;9158.105
198000;8760.588
198900;8395.008
199800;8120.121
200700;7912.8823
201600;7741.3296
202500;7606.404
203400;7505.635
204300;7437.8755
205200;7392.1333
206100;7352.072
207000;7307.732
207900;7259.9526
208800;7211.5596
209700;7164.5396
210600;7119.3555
211500;7070.314
212400;7009.097
213300;6923.3037
214200;6822.6606
215100;6725.9272
216000;6647.3057
216900;6602.2925
217800;6593.177
218700;6602.7837
219600;6621.5376
220500;6643.8154
221400;6660.28
222300;6668.439
223200;6669.3657
224100;6657.465
225000;6643.4155
225900;6637.4893
226800;6635.6855
227700;6635.769
228600;6637.8267
229500;6637.7554
230400;6632.91
231300;6618.434
232200;6594.175
233100;6563.626
234000;6530.6865
234900;6511.811
235800;6515.129
236700;6535.73
237600;6564.919
238500;6649.0713
239400;6810.783
240300;7030.003
241200;7281.073
242100;7497.666
243000;7636.763
243900;7719.689
244800;7769.7007
245700;7809.88
246600;7857.8022
247500;7910.2095
248400;7963.837
249300;8016.4575
250200;8062.1787
251100;8101.8506
252000;8141.6323
252900;8186.666
253800;8261.878
254700;8376.788
255600;8508.096
256500;8626.892
257400;8733.032
258300;8829.226
259200;8916.746
260100;8985.408
261000;9035.955
261900;9074.191
262800;9103.216
263700;9123.349
264600;9138.815
265500;9150.556
266400;9159.974
267300;9171.219
268200;9189.533
269100;9213.73
270000;9238.987
270900;9258.354
271800;9271.189
272700;9277.935
273600;9279.107
274500;9272.202
275400;9256.775
276300;9234.88
277200;9212.555
278100;9198.801
279000;9204.208
279900;9227.934
280800;9257.909
281700;9196.81
282600;8988.493
283500;8676.692
284400;8304.23
285300;7952.9683
286200;7668.918
287100;7434.3037
288000;7227.7144
288900;7057.211
289800;6924.7046
290700;6840.139
291600;6791.1904
292500;6759.8213
293400;6735.0786
294300;6714.482
295200;6697.553
296100;6684.543
297000;6672.406
297900;6659.5483
298800;6643.541
299700;6625.9126
300600;6611.112
301500;6601.9756
302400;6598.5737
303300;6610.293
304200;6633.3687
305100;6658.699
306000;6682.2964
306900;6694.9688
307800;6691.0386
308700;6681.2056
309600;6677.364
310500;6676.55
311400;6667.7217
312300;6651.7056
313200;6629.3975
314100;6614.539
315000;6617.089
315900;6630.9395
316800;6650.904
317700;6680.2715
318600;6718.674
319500;6764.5635
320400;6814.727
321300;6875.714
322200;6937.781
323100;6994.5894
324000;7050.2173
324900;7158.949
325800;7356.234
326700;7613.8525
327600;7903.7246
328500;8157.687
329400;8323.939
330300;8428.931
331200;8497.324
332100;8556.97
333000;8625.156
333900;8698.486
334800;8774.778
335700;8857.6045
336600;8943.982
337500;9032.234
338400;9121.961
339300;9201.479
340200;9271.514
341100;9338.412
342000;9398.33
342900;9454.755
343800;9506.85
344700;9555.863
345600;9604.81
346500;9652.958
347400;9698.6
348300;9742.253
349200;9780.542
350100;9813.407
351000;9841.3545
351900;9864.975
352800;9886.036
353700;9904.413
354600;9920.675
355500;9935.673
356400;9950.514
357300;9971.001
358200;10004.48
359100;10052.354
360000;10106.527
360900;10154.457
361800;10194.033
362700;10226.783
363600;10253.284
364500;10273.343
365400;10290.556
366300;10305.519
367200;10318.516
368100;10249.701
369000;10049.293
369900;9751.513
370800;9383.078
371700;9002.592
372600;8652.511
373500;8318.325
374400;7991.7915
375300;7693.9185
376200;7469.5366
377100;7282.409
378000;7151.9404
378900;7127.27
379800;7152.6875
380700;7159.9756
381600;7103.5317
382500;6980.9946
383400;6838.875
384300;6717.3037
385200;6625.793
386100;6550.689
387000;6471.498
387900;6380.3203
388800;6278.332
389700;6180.5044
390600;6100.0713
391500;6035.5483
392400;5981.7715
393300;5924.6357
394200;5857.8423
395100;5785.097
396000;5717.7637
396900;5658.2974
397800;5607.036
398700;5585.395
399600;5641.462
400500;5800.8516
401400;6017.678
402300;6211.2236
403200;6360.55
404100;6469.5435
405000;6549.9663
405900;6607.5195
406800;6645.6943
407700;6677.183
408600;6714.088
409500;6752.6934
410400;6790.1484
411300;6875.8726
412200;7033.1563
413100;7241.2383
414000;7476.939
414900;7689.036
415800;7830.742
416700;7926.184
417600;7994.764
418500;8054.2563
419400;8119.1953
420300;8187.068
421200;8255.509
422100;8320.053
423000;8379.203
423900;8434.557
424800;8486.555
425700;8523.124
426600;8543.447
427500;8550.776
428400;8550.726
429300;8559.139
430200;8582.165
431100;8615.555
432000;8656.386
432900;8694.562
433800;8724.545
434700;8748.64
435600;8767.288
436500;8779.611
437400;8788.163
438300;8793.445
439200;8800.509
440100;8808.426
441000;8817.407
441900;8828.139
442800;8841.398
443700;8857.3545
444600;8875.592
445500;8895.477
446400;8916.053
447300;8937.08
448200;8958.041
449100;8978.987
450000;8999.781
450900;9018.016
451800;9029.095
452700;9034.639
453600;9041.108
454500;8977.05
455400;8793.263
456300;8520.145
457200;8188.7017
458100;7853.961
459000;7576.549
459900;7325.1265
460800;7074.357
461700;6848.457
462600;6657.322
463500;6516.7134
464400;6398.112
465300;6273.558
466200;6188.7383
467100;6154.402
468000;6139.6206
468900;6115.924
469800;6063.1157
470700;5967.418
471600;5818.116
472500;5620.344
473400;5415.1006
474300;5255.0225
475200;5180.3867
476100;5205.3823
477000;5298.6323
477900;5400.6616
478800;5484.031
479700;5533.8667
480600;5546.045
481500;5538.4556
482400;5524.1533
483300;5500.0703
484200;5470.6665
485100;5452.138
486000;5480.407
486900;5575.9526
487800;5707.2144
488700;5819.463
489600;5897.4233
490500;5953.2397
491400;6001.536
492300;6045.3643
493200;6086.324
494100;6138.568
495000;6204.824
495900;6281.614
496800;6365.506
497700;6500.6123
498600;6708.1885
499500;6969.2607
500400;7262.814
501300;7518.19
502200;7685.304
503100;7789.042
504000;7856.758
504900;7918.27
505800;7992.278
506700;8076.473
507600;8169.8364
508500;8280.969
509400;8413.619
510300;8564.97
511200;8725.083
512100;8869.638
513000;8982.032
513900;9069.651
514800;9144.244
515700;9225.105
516600;9318.287
517500;9420.253
518400;9527.186
519300;9627.773
520200;9717.029
521100;9797.26
522000;9871.141
522900;9937.571
