index;type;nb_btype;nb_occ;azimuth;elevation;cat;modules
0;sfh;1;3;0;30;1;20
1;sfh;2;2;0;30;1;20
2;sfh;3;2;0;30;1;20
3;sfh;4;3;0;30;1;20
4;sfh;5;2;0;30;1;20
5;sfh;6;3;0;30;1;20
6;sfh;7;4;0;30;1;20
7;sfh;8;2;0;30;1;20
8;sfh;9;5;0;30;1;20
9;sfh;10;2;0;30;1;20
10;sfh;11;5;0;30;1;20
11;sfh;12;5;0;30;1;20
12;sfh;13;3;0;30;1;20
13;sfh;14;2;0;30;1;20
14;sfh;15;3;0;30;1;20
15;sfh;16;2;0;30;1;20
16;sfh;17;2;0;30;1;20
17;sfh;18;4;0;30;1;20
18;sfh;19;4;0;30;1;20
19;sfh;20;4;0;30;1;20
20;sfh;21;2;0;30;1;20
21;sfh;22;2;0;30;1;20
22;sfh;23;4;0;30;1;20
23;sfh;24;3;0;30;1;20
24;sfh;25;3;0;30;1;20
25;sfh;26;5;0;30;1;20
26;sfh;27;4;0;30;1;20
27;sfh;28;5;0;30;1;20
28;sfh;29;5;0;30;1;20
29;sfh;30;5;0;30;1;20
30;sfh;31;4;0;30;1;20
31;sfh;32;4;0;30;1;20
32;sfh;33;2;0;30;1;20
33;sfh;34;4;0;30;1;20
34;sfh;35;4;0;30;1;20
35;sfh;36;3;0;30;1;20
36;sfh;37;2;0;30;1;20
37;sfh;38;2;0;30;1;20
38;sfh;39;2;0;30;1;20
39;sfh;40;2;0;30;1;20
40;sfh;41;2;0;30;2;20
41;sfh;42;5;0;30;2;20
42;sfh;43;4;0;30;2;20
43;sfh;44;5;0;30;2;20
44;sfh;45;5;0;30;2;20
45;sfh;46;2;0;30;2;20
46;sfh;47;3;0;30;2;20
47;sfh;48;3;0;30;2;20
48;sfh;49;2;0;30;2;20
49;sfh;50;5;0;30;2;20
50;sfh;51;2;0;30;2;20
51;sfh;52;5;0;30;2;20
52;sfh;53;3;0;30;2;20
53;sfh;54;2;0;30;2;20
54;sfh;55;2;0;30;2;20
55;sfh;56;4;0;30;2;20
56;sfh;57;2;0;30;2;20
57;sfh;58;4;0;30;2;20
58;sfh;59;4;0;30;2;20
59;sfh;60;2;0;30;2;20
60;sfh;61;3;0;30;2;20
61;sfh;62;3;0;30;2;20
62;sfh;63;5;0;30;2;20
63;sfh;64;3;0;30;2;20
64;sfh;65;2;0;30;2;20
65;sfh;66;3;0;30;2;20
66;sfh;67;2;0;30;2;20
67;sfh;68;2;0;30;2;20
68;sfh;69;5;0;30;2;20
69;sfh;70;2;0;30;2;20
70;sfh;71;4;0;30;2;20
71;sfh;72;5;0;30;2;20
72;sfh;73;2;0;30;2;20
73;sfh;74;2;0;30;2;20
74;sfh;75;3;0;30;2;20
75;sfh;76;2;0;30;2;20
76;sfh;77;2;0;30;2;20
77;sfh;78;5;0;30;2;20
78;sfh;79;2;0;30;2;20
79;sfh;80;4;0;30;2;20
80;sfh;81;2;0;30;2;20
81;sfh;82;2;0;30;2;20
82;sfh;83;4;0;30;2;20
83;sfh;84;4;0;30;2;20
84;sfh;85;4;0;30;2;20
85;sfh;86;4;0;30;2;20
86;sfh;87;3;0;30;2;20
87;sfh;88;3;0;30;2;20
88;sfh;89;2;0;30;2;20
89;sfh;90;2;0;30;2;20
90;sfh;91;4;0;30;2;20
91;sfh;92;5;0;30;2;20
92;sfh;93;3;0;30;2;20
93;sfh;94;4;0;30;2;20
94;sfh;95;5;0;30;2;20
95;sfh;96;5;0;30;2;20
96;sfh;97;5;0;30;2;20
97;sfh;98;5;0;30;2;20
98;sfh;99;3;0;30;2;20
99;sfh;100;4;0;30;2;20
100;sfh;101;4;0;30;2;20
101;sfh;102;5;0;30;2;20
102;sfh;103;4;0;30;2;20
103;sfh;104;4;0;30;2;20
104;sfh;105;2;0;30;2;20
105;sfh;106;3;0;30;2;20
106;sfh;107;2;0;30;2;20
107;sfh;108;4;0;30;2;20
108;sfh;109;5;0;30;2;20
109;sfh;110;2;0;30;2;20
110;sfh;111;2;0;30;2;20
111;sfh;112;4;0;30;2;20
112;sfh;113;5;0;30;2;20
113;sfh;114;5;0;30;2;20
114;sfh;115;5;0;30;2;20
115;sfh;116;2;0;30;2;20
116;mfh_small;1;15;0;30;3;46
117;mfh_small;2;15;0;30;3;46
118;mfh_small;3;14;0;30;3;46
119;mfh_small;4;15;0;30;4;46
120;mfh_small;5;17;0;30;4;46
121;mfh_small;6;17;0;30;4;46
122;mfh_small;7;12;0;30;4;46
123;mfh_small;8;14;0;30;4;46
124;mfh_small;9;12;0;30;4;46
125;mfh_small;10;19;0;30;4;46
126;mfh_middle;1;25;0;30;5;46
127;mfh_middle;2;29;0;30;5;46
128;mfh_middle;3;22;0;30;5;46
129;mfh_middle;4;19;0;30;5;46
130;mfh_middle;5;25;0;30;5;46
131;mfh_middle;6;23;0;30;5;46
132;mfh_middle;7;22;0;30;6;46
133;mfh_middle;8;19;0;30;6;46
134;mfh_middle;9;22;0;30;6;46
135;mfh_middle;10;27;0;30;6;46
136;mfh_middle;11;19;0;30;6;46
137;mfh_middle;12;20;0;30;6;46
138;mfh_middle;13;23;0;30;6;46
139;mfh_middle;14;23;0;30;6;46
140;mfh_middle;15;26;0;30;6;46
141;mfh_middle;16;26;0;30;6;46
142;mfh_middle;17;24;0;30;6;46
143;mfh_middle;18;27;0;30;6;46
