time in s;power in W
900;7022.2114
1800;14349.1
2700;21043.723
3600;26738.701
4500;26738.701
5400;26738.701
6300;26738.701
7200;26738.701
8100;26738.701
9000;26738.701
9900;26738.701
10800;26738.701
11700;26738.701
12600;26738.701
13500;26738.701
14400;26738.701
15300;26738.701
16200;26738.701
17100;26738.701
18000;26738.701
18900;26738.701
19800;26738.701
20700;26738.701
21600;26738.701
22500;26738.701
23400;26738.701
24300;26738.701
25200;26738.701
26100;26738.701
27000;26738.701
27900;26738.701
28800;26738.701
29700;26738.701
30600;26738.701
31500;26738.701
32400;26738.701
33300;26738.701
34200;26738.701
35100;26738.701
36000;26738.701
36900;26738.701
37800;26738.701
38700;26738.701
39600;26738.701
40500;26738.701
41400;26738.701
42300;26738.701
43200;26738.701
44100;26738.701
45000;26738.701
45900;26738.701
46800;26738.701
47700;26738.701
48600;26738.701
49500;26738.701
50400;26738.701
51300;26738.701
52200;26738.701
53100;26738.701
54000;26738.701
54900;26738.701
55800;26738.701
56700;26738.701
57600;26738.701
58500;26738.701
59400;26738.701
60300;26738.701
61200;26738.701
62100;26738.701
63000;26738.701
63900;26738.701
64800;26738.701
65700;26738.701
66600;26738.701
67500;26738.701
68400;26738.701
69300;26738.701
70200;26738.701
71100;26738.701
72000;26738.701
72900;26738.701
73800;26738.701
74700;26738.701
75600;26738.701
76500;26738.701
77400;26738.701
78300;26738.701
79200;26738.701
80100;26738.701
81000;26738.701
81900;26738.701
82800;26738.701
83700;26738.701
84600;26738.701
85500;26738.701
86400;26738.701
87300;26738.701
88200;26738.701
89100;26738.701
90000;26738.701
90900;26738.701
91800;26738.701
92700;26738.701
93600;26738.701
94500;26738.701
95400;26738.701
96300;26738.701
97200;26738.701
98100;26738.701
99000;26738.701
99900;26738.701
100800;26738.701
101700;26738.701
102600;26738.701
103500;26738.701
104400;26738.701
105300;26738.701
106200;26738.701
107100;26738.701
108000;26738.701
108900;26738.701
109800;26738.701
110700;26738.701
111600;26738.701
112500;26738.701
113400;26738.701
114300;26738.701
115200;26738.701
116100;26738.701
117000;26738.701
117900;26738.701
118800;26738.701
119700;26738.701
120600;26738.701
121500;26731.752
122400;26606.121
123300;26359.516
124200;26026.309
125100;25640.598
126000;25264.314
126900;24951.21
127800;24694.865
128700;24454.771
129600;24211.61
130500;23983.611
131400;23781.03
132300;23609.725
133200;23468.432
134100;23330.475
135000;23169.889
135900;22997.91
136800;22821.973
137700;22626.936
138600;22414.334
139500;22190.037
140400;21962.082
141300;21756.348
142200;21602.705
143100;21496.912
144000;21423.762
144900;21377.115
145800;21330.307
146700;21273.723
147600;21211.924
148500;21178.291
149400;21187.254
150300;21238.314
151200;21328.75
152100;21500.564
153000;21788.174
153900;22189.586
154800;22690.732
155700;23225.174
156600;23692.951
157500;24084.207
158400;24406.441
159300;24682.223
160200;24943.354
161100;25191.986
162000;25423.201
162900;25637.133
163800;25840.4
164700;26029.813
165600;26197.557
166500;26337.906
167400;26436.059
168300;26489.41
169200;26503.924
170100;26495.41
171000;26496.076
171900;26511.96
172800;26533.426
173700;26538.518
174600;26513.164
175500;26459.268
176400;26382.586
177300;26274.133
178200;26149.508
179100;26009.324
180000;25860.434
180900;25698.574
181800;25547.117
182700;25414.361
183600;25297.049
184500;25181.03
185400;25055.715
186300;24921.605
187200;24784.654
188100;24653.525
189000;24537.91
189900;24436.979
190800;24339.215
191700;24230.805
192600;24108.707
193500;23973.168
194400;23825.828
195300;23589.037
196200;23178.357
197100;22595.697
198000;21860.07
198900;21039.543
199800;20236.4
200700;19460.234
201600;18707.172
202500;17994.625
203400;17331.822
204300;16733.275
205200;16194.738
206100;15709.928
207000;15257.99
207900;14837.203
208800;14444.49
209700;14083.402
210600;13744.72
211500;13423.082
212400;13100.171
213300;12759.66
214200;12403.175
215100;12049.164
216000;11717.098
216900;11428.383
217800;11194.492
218700;11008.4795
219600;10863.715
220500;10757.78
221400;10674.2
222300;10604.58
223200;10542.789
224100;10475.785
225000;10404.741
225900;10337.255
226800;10275.424
227700;10220.955
228600;10175.21
229500;10132.462
230400;10090.802
231300;10043.745
232200;9987.265
233100;9923.106
234000;9852.532
234900;9791.785
235800;9755.329
236700;9742.549
237600;9750.888
238500;9834.205
239400;10035
240300;10350.651
241200;10773.721
242100;11243.776
243000;11673.375
243900;12058.326
244800;12403.969
245700;12723.713
246600;13034.898
247500;13339.106
248400;13636.468
249300;13921.9795
250200;14195.246
251100;14454.153
252000;14705.672
252900;14953.361
253800;15218.85
254700;15515.632
255600;15832.556
256500;16156.26
257400;16479.127
258300;16796.469
259200;17111.992
260100;17407.627
261000;17678.652
261900;17925.855
262800;18149.246
263700;18346.465
264600;18522.951
265500;18679.129
266400;18817.416
267300;18939.139
268200;19055.691
269100;19168.916
270000;19276.213
270900;19372.191
271800;19456.87
272700;19527.467
273600;19585.91
274500;19630.285
275400;19659.625
276300;19672.623
277200;19672.89
278100;19670.88
279000;19681.86
279900;19707.77
280800;19736.678
281700;19675.902
282600;19434.36
283500;19012.143
284400;18423.943
285300;17730.453
286200;17021.535
287100;16307.855
288000;15590.252
288900;14890.503
289800;14230.138
290700;13632.627
291600;13103.463
292500;12635.81
293400;12216.97
294300;11842.655
295200;11508.619
296100;11213.665
297000;10948.873
297900;10709.967
298800;10491.083
299700;10292.212
300600;10110.644
301500;9950.445
302400;9813.095
303300;9709.022
304200;9641.118
305100;9601.532
306000;9582.716
306900;9570.288
307800;9548.733
308700;9525.392
309600;9508.85
310500;9492.262
311400;9464.761
312300;9423.016
313200;9369.336
314100;9315.865
315000;9277.134
315900;9250.911
316800;9237.455
317700;9241.05
318600;9263.757
319500;9304.906
320400;9363.716
321300;9448.296
322200;9553.81
323100;9674.122
324000;9810.173
324900;10017.167
325800;10339.7295
326700;10775.587
327600;11317.513
328500;11901.719
329400;12437.684
330300;12919.743
331200;13356.207
332100;13758.054
333000;14147.671
333900;14526.641
334800;14891.322
335700;15254.23
336600;15616.412
337500;15974.964
338400;16326.382
339300;16666.24
340200;16986.59
341100;17293.174
342000;17581.568
342900;17852.564
343800;18111.02
344700;18356.553
345600;18592.398
346500;18813.59
347400;19021.79
348300;19218.635
349200;19401.814
350100;19566.629
351000;19716.926
351900;19852.025
352800;19973.318
353700;20076.332
354600;20168.629
355500;20249.754
356400;20322.809
357300;20388.305
358200;20461.031
359100;20541.986
360000;20627.588
360900;20711.479
361800;20788.633
362700;20858.188
363600;20919.598
364500;20967.885
365400;21008.037
366300;21039.096
367200;21061.443
368100;20993.357
369000;20743.875
369900;20307.867
370800;19687.102
371700;18918.982
372600;18070.559
373500;17150.602
374400;16166.649
375300;15147.927
376200;14173.476
377100;13242.525
378000;12399.527
378900;11708.091
379800;11148.462
380700;10658.708
381600;10161.906
382500;9622.862
383400;9062.355
384300;8522.339
385200;8020.038
386100;7554.038
387000;7107.8066
387900;6670.263
388800;6232.7544
389700;5807.5522
390600;5407.2524
391500;5033.1235
392400;4685.3486
393300;4350.7783
394200;4016.4568
395100;3682.059
396000;3356.9182
396900;3046.5928
397800;2752.355
398700;2499.8687
399600;2359.0461
400500;2385.766
401400;2559.4592
402300;2792.7664
403200;3036.0676
404100;3275.5369
405000;3504.9531
405900;3720.2495
406800;3916.979
407700;4102.17
408600;4289.57
409500;4478.6543
410400;4665.0615
411300;4898.5513
412200;5232.3696
413100;5664.6753
414000;6187.0576
414900;6745.7837
415800;7260.945
416700;7733.646
417600;8166.8896
418500;8570.782
419400;8962.742
420300;9344.745
421200;9716.709
422100;10075.109
423000;10419.2295
423900;10748.104
424800;11060.532
425700;11345.456
426600;11600.422
427500;11824.376
428400;12019.872
429300;12198.6045
430200;12378.873
431100;12563.186
432000;12748.488
432900;12930.379
433800;13099.035
434700;13254.992
435600;13399.877
436500;13529.977
437400;13648.45
438300;13754.44
439200;13851.745
440100;13942.225
441000;14029.061
441900;14113.377
442800;14196.696
443700;14279.412
444600;14362.757
445500;14446.747
446400;14531.263
447300;14616.587
448200;14701.925
449100;14787.296
450000;14872.082
450900;14953.776
451800;15028.126
452700;15095.788
453600;15162.017
454500;15147.502
455400;14974.036
456300;14635.221
457200;14134.477
458100;13520.579
459000;12862.935
459900;12165.059
460800;11418.314
461700;10652.36
462600;9901.315
463500;9199.475
464400;8533.471
465300;7877.141
466200;7285.87
467100;6786.9814
468000;6358.0103
468900;5972.6826
469800;5598.649
470700;5211.9023
471600;4774.863
472500;4267.686
473400;3719.4304
474300;3194.3147
475200;2757.5344
476100;2458.3538
477000;2292.8755
477900;2206.1492
478800;2160.464
479700;2126.8691
480600;2080.8633
481500;2025.9661
482400;1967.2341
483300;1900.4668
484200;1821.138
485100;1747.1443
486000;1730.0464
486900;1811.5563
487800;1983.4199
488700;2182.2766
489600;2374.7158
490500;2563.401
491400;2750.4822
492300;2936.2168
493200;3119.3726
494100;3315.181
495000;3532.4348
495900;3770.0225
496800;4027.1167
497700;4348.214
498600;4779.183
499500;5319.873
500400;5959.377
501300;6634.672
502200;7255.2446
503100;7816.557
504000;8325.756
504900;8800.761
505800;9264.175
506700;9721.025
507600;10174.468
508500;10636.97
509400;11118.835
510300;11619.87
511200;12136.119
512100;12645.484
513000;13122.916
513900;13571.303
514800;13992.793
515700;14398.025
516600;14803.814
517500;15210.906
518400;15615.686
519300;16010.484
520200;16385.469
521100;16742.71
522000;17082.639
522900;17399.197
523800;17695.553
524700;17968.754
525600;18220.545
526500;18452.729
527400;18675.049
528300;18888.338
529200;19092.357
530100;19283.703
531000;19463.658
531900;19628.375
532800;19774.285
533700;19892.586
534600;19975.447
535500;20017.508
536400;20027.227
537300;20017.129
538200;20003.672
539100;19987.857
540000;19966.2
540900;19850.252
541800;19550.791
542700;19064.164
543600;18399.285
544500;17612.299
545400;16793.795
546300;15963.51
547200;15131.642
548100;14325.462
549000;13573.455
549900;12903.41
550800;12310.27
551700;11769.139
552600;11261.767
553500;10774.248
554400;10285.431
555300;9790.02
556200;9298.346
557100;8833.477
558000;8406.957
558900;8015.6304
559800;7653.52
560700;7317.927
561600;7005.385
562500;6726.866
563400;6487.0796
564300;6284.057
565200;6113.711
566100;5961.8145
567000;5806.998
567900;5643.676
568800;5460.807
569700;5241.884
570600;4981.04
571500;4708.41
572400;4498.754
573300;4410.6733
574200;4432.9185
575100;4494.2773
576000;4558.025
576900;4622.6606
577800;4688.509
578700;4755.6494
579600;4823.954
580500;4905.838
581400;5021.619
582300;5175.7007
583200;5364.896
584100;5627.0054
585000;6008.7437
585900;6504.761
586800;7102.1626
587700;7737.4126
588600;8310.353
589500;8808.314
590400;9249
591300;9664.927
592200;10090.397
593100;10530.732
594000;10983.853
594900;11451.361
595800;11927.448
596700;12408.546
597600;12889.22
598500;13347.14
599400;13761.785
600300;14136.552
601200;14474.388
602100;14787.478
603000;15095.515
603900;15399.995
604800;15697.981
605700;15984.277
606600;16250.835
607500;16494.627
608400;16714.512
609300;16909.102
610200;17079.543
611100;17222.875
612000;17340.373
612900;17429.064
613800;17495.58
614700;17541.156
615600;17572.72
616500;17597.531
617400;17622.695
618300;17648.367
619200;17674.04
620100;17699.879
621000;17725.729
621900;17751.594
622800;17777.396
623700;17800.443
624600;17814.861
625500;17820.543
626400;17823.043
627300;17739.7
628200;17490.988
629100;17080.006
630000;16512.389
630900;15849.614
631800;15170.909
632700;14476.771
633600;13749.469
634500;12986.868
635400;12222.444
636300;11517.582
637200;10889.644
638100;10325.863
639000;9817.103
639900;9344.399
640800;8883.767
641700;8421.849
642600;7964.636
643500;7528.3755
644400;7123.8105
645300;6763.4277
646200;6453.3125
647100;6195.2964
648000;5985.0293
648900;5829.264
649800;5739.683
650700;5719.456
651600;5769.0063
652500;5861.8213
653400;5962.081
654300;6052.3774
655200;6112.673
656100;6116.396
657000;6058.532
657900;5961.909
658800;5849.738
659700;5752.516
660600;5687.707
661500;5644.563
662400;5616.7813
663300;5605.1406
664200;5606.195
665100;5618.0054
666000;5641.4365
666900;5692.5938
667800;5786.537
668700;5925.077
669600;6099.977
670500;6345.3027
671400;6702.35
672300;7166.653
673200;7727.03
674100;8323.656
675000;8868.06
675900;9356.203
676800;9795.6045
677700;10199.712
678600;10592.037
679500;10973.814
680400;11345.081
681300;11720.173
682200;12108.401
683100;12511.831
684000;12919.977
684900;13322.006
685800;13691.735
686700;14024.452
687600;14325.187
688500;14611.291
689400;14908.751
690300;15222.647
691200;15547.389
692100;15864.157
693000;16160.851
693900;16435.93
694800;16690.867
695700;16923.75
696600;17143.229
697500;17349.154
698400;17542.2
699300;17720.533
700200;17887.951
701100;18043.012
702000;18188.201
702900;18321.975
703800;18450.918
704700;18575.428
705600;18695.283
706500;18808.47
707400;18916.97
708300;19019.598
709200;19115.893
710100;19203.44
711000;19283.965
711900;19356.988
712800;19425.195
713700;19396.035
714600;19177.607
715500;18769.193
716400;18185.05
717300;17484.518
718200;16755.412
719100;16005.596
720000;15240.397
