T_air,sol_dir,sol_diff
-4.6,0,0
-3.0,0,0
-1.7,0,0
-1.6,0,0
-1.5,0,0
-1.4,0,0
-1.3,0,0
-0.9,0,0
-0.4,0,1
-0.1,0,22
0.3,15,71
0.8,20,99
1.2,1,79
1.4,0,49
1.4,0,18
1.4,0,5
1.3,0,0
1.4,0,0
1.6,0,0
1.7,0,0
1.7,0,0
1.9,0,0
2.7,0,0
3.5,0,0
3.5,0,0
3.6,0,0
3.6,0,0
3.3,0,0
3.1,0,0
3.1,0,0
3.3,0,0
3.3,0,0
3.3,0,5
3.4,10,37
3.7,0,46
3.8,1,71
3.6,0,54
3.7,0,63
3.8,0,26
4.0,0,10
3.9,0,0
3.3,0,0
4.0,0,0
4.2,0,0
3.9,0,0
3.8,0,0
4.1,0,0
4.2,0,0
4.3,0,0
4.4,0,0
4.4,0,0
4.5,0,0
4.6,0,0
4.8,0,0
4.7,0,0
4.6,0,0
4.8,0,0
5.0,0,32
5.4,0,48
5.8,0,48
6.3,0,42
6.8,0,48
6.7,0,38
6.6,0,12
6.5,0,0
6.6,0,0
6.7,0,0
6.8,0,0
6.5,0,0
6.4,0,0
6.3,0,0
6.0,0,0
5.8,0,0
5.7,0,0
5.9,0,0
5.6,0,0
5.9,0,0
5.8,0,0
5.7,0,0
5.2,0,0
5.2,0,1
5.4,0,18
5.4,0,19
5.7,0,29
5.9,0,42
5.9,0,36
5.8,0,32
5.4,0,13
5.4,0,0
5.2,0,0
5.1,0,0
4.7,0,0
4.5,0,0
4.7,0,0
4.8,0,0
5.2,0,0
5.7,0,0
5.7,0,0
6.2,0,0
5.9,0,0
5.2,0,0
4.8,0,0
4.3,0,0
4.0,0,0
3.8,3,9
3.7,48,43
3.9,112,67
4.7,137,88
5.4,93,108
5.4,50,103
5.3,32,73
4.9,6,27
3.4,0,0
2.3,0,0
2.1,0,0
1.2,0,0
0.6,0,0
0.6,0,0
0.1,0,0
0.0,0,0
-0.5,0,0
-0.4,0,0
-1.2,0,0
-1.2,0,0
-1.0,0,0
-1.2,0,0
-1.3,0,0
-1.4,0,0
-1.0,4,7
0.1,3,33
1.0,104,49
2.3,177,56
3.9,184,60
4.5,146,63
4.5,80,55
4.0,14,27
3.1,0,0
2.7,0,0
2.2,0,0
1.8,0,0
1.8,0,0
1.9,0,0
2.5,0,0
3.1,0,0
3.4,0,0
3.4,0,0
3.4,0,0
3.1,0,0
3.8,0,0
4.2,0,0
4.4,0,0
4.3,0,0
4.5,0,4
4.8,0,30
5.2,1,60
5.5,0,74
6.6,35,127
6.9,40,118
7.0,22,82
6.7,0,23
6.5,0,0
6.2,0,0
5.1,0,0
4.4,0,0
3.7,0,0
3.3,0,0
3.5,0,0
3.0,0,0
1.5,0,0
1.3,0,0
0.9,0,0
0.9,0,0
0.9,0,0
0.6,0,0
0.6,0,0
0.4,0,0
0.4,4,9
0.8,51,44
2.0,112,71
3.5,150,88
5.1,130,100
5.4,31,103
5.6,0,54
5.5,0,13
5.3,0,0
5.2,0,0
5.4,0,0
5.2,0,0
5.2,0,0
5.3,0,0
5.2,0,0
5.1,0,0
5.0,0,0
5.1,0,0
4.7,0,0
4.4,0,0
4.4,0,0
4.5,0,0
4.4,0,0
4.6,0,0
4.8,1,8
4.7,6,40
5.2,0,53
5.4,0,67
5.6,1,82
5.6,0,64
5.5,1,56
5.1,0,23
3.9,0,0
3.8,0,0
3.5,0,0
3.6,0,0
3.3,0,0
3.6,0,0
3.5,0,0
3.3,0,0
2.9,0,0
2.4,0,0
1.9,0,0
0.6,0,0
0.5,0,0
0.0,0,0
0.1,0,0
0.0,0,0
0.2,0,9
0.8,9,46
1.6,0,54
2.2,0,48
2.4,0,33
2.8,0,26
3.0,0,22
2.8,0,7
2.5,0,0
2.0,0,0
1.6,0,0
1.4,0,0
1.3,0,0
1.3,0,0
1.1,0,0
1.0,0,0
1.0,0,0
0.9,0,0
0.9,0,0
0.5,0,0
0.2,0,0
0.1,0,0
-0.1,0,0
0.0,0,0
0.0,0,3
0.0,26,48
0.4,92,70
1.4,121,99
2.6,139,102
2.7,117,95
2.6,47,78
1.5,12,35
0.2,0,1
-0.8,0,0
-1.6,0,0
-2.2,0,0
-2.5,0,0
-2.6,0,0
-2.7,0,0
-2.1,0,0
-2.1,0,0
-1.9,0,0
-2.5,0,0
-3.2,0,0
-2.6,0,0
-2.8,0,0
-3.2,0,0
-3.6,0,0
-4.1,3,10
-3.3,47,49
-2.5,107,79
-1.0,139,99
0.7,141,105
1.6,113,99
1.5,58,79
0.8,7,34
-0.2,0,1
-1.0,0,0
-0.8,0,0
-1.1,0,0
-1.5,0,0
-2.1,0,0
-2.5,0,0
-2.6,0,0
-3.3,0,0
-3.5,0,0
-3.7,0,0
-4.1,0,0
-4.3,0,0
-4.2,0,0
-4.4,0,0
-5.1,0,0
-5.3,0,10
-4.7,49,44
-3.7,116,69
-2.4,154,85
-0.9,157,91
-0.8,133,86
-1.2,80,71
-1.5,14,37
-2.5,0,3
-3.5,0,0
-4.2,0,0
-4.1,0,0
-4.9,0,0
-5.5,0,0
-5.9,0,0
-4.9,0,0
-4.6,0,0
-4.2,0,0
-4.0,0,0
-3.7,0,0
-3.4,0,0
-3.3,0,0
-2.9,0,0
-2.7,0,0
-2.5,0,7
-2.1,15,37
-1.7,1,62
-1.3,0,52
-1.1,0,40
-0.9,0,30
